pedido;cpf;nome;hora;data;subtotal;desconto;total
p118332;SEM CPF;BRENO;20:57;27/11/2018;21,98;0;21,98

p43113;SEM CPF;BRENO;22:21;1/12/2018;29.700000000000003;0;29.700000000000003
p49272;SEM CPF;DE;22:24;1/12/2018;59.400000000000006;0;59.400000000000006
p59537;SEM CPF;VER;22:29;1/12/2018;59.400000000000006;0;59.400000000000006
p67749;SEM CPF;DEDE;22:33;1/12/2018;59.400000000000006;0;59.400000000000006
p114968;SEM CPF;BRENO;22:56;1/12/2018;59.400000000000006;0;59.400000000000006
p119074;SEM CPF;LEONARDO;22:58;1/12/2018;71.48;0;71.48
p2054;SEM CPF;BRENO;23:01;1/12/2018;51.68000000000001;0;51.68000000000001
p14378;SEM CPF;BRENO;23:07;1/12/2018;72.57;0;72.57
p18486;SEM CPF;BRENO;23:09;1/12/2018;32.97;0;32.97
p20540;SEM CPF;BRENO;23:10;1/12/2018;22.98;0;22.98
p22594;SEM CPF;BRENO;23:11;1/12/2018;109.9;0;109.9
p86268;SEM CPF;BRENO;23:42;1/12/2018;53.86;0;53.86
p90376;SEM CPF;BRENO;23:44;1/12/2018;54.95;0;54.95
p96538;01234567890;BRENO;23:47;1/12/2018;10.99;0.5495;10.4405
p100646;01234567899;BRENO;23:49;1/12/2018;32.97;1.6484999999999999;31.3215
p16256;01234567890;BRENO;00:08;2/12/2018;10.99;0.5495;10.4405
p20320;01234567890;BRENO;00:10;2/12/2018;21.98;1.099;20.881
p30480;01234567890;ELIANE;00:15;2/12/2018;54.95;2.7475;52.2025
p59363;01234567890;NOME TESTE;15:29;2/12/2018;10.99;0.5495;10.4405
p65504;01234567899;BRENO;15:32;2/12/2018;10.99;0.5495;10.4405
p69598;12345678900;NOME;15:34;2/12/2018;10.99;0.5495;10.4405
p79833;01234567899;TESTE;15:39;2/12/2018;10.99;0.5495;10.4405
p20480;01234567899;TESTE;16:10;2/12/2018;21.98;1.099;20.881
p26624;01234567890;CARLA;16:13;2/12/2018;21.98;1.099;20.881
p30720;01234567899;CARLA;16:15;2/12/2018;21.98;1.099;20.881
p47104;01234567899;CARLA;16:23;2/12/2018;10.99;0.5495;10.4405
p57344;01234567899;CARLA;16:28;2/12/2018;10.99;0.5495;10.4405
p65536;01234567899;CARLA;16:32;2/12/2018;10.99;0.5495;10.4405
p75776;01234567899;CARLA;16:37;2/12/2018;10.99;0.5495;10.4405
p90112;01234567890;CARLA;16:44;2/12/2018;10.99;0.5495;10.4405
p16392;01234567890;CARLA;17:08;2/12/2018;21.98;1.099;20.881
p47127;01234567899;CARLA;17:23;2/12/2018;10.99;0.5495;10.4405
p51225;01234567899;CARLA;17:25;2/12/2018;10.99;0.5495;10.4405
p102500;01234567899;CARLA;18:50;2/12/2018;10.99;0.5495;10.4405
p118900;01234567899;CARLA;18:58;2/12/2018;10.99;0.5495;10.4405
p2051;01234567899;TESTE;19:01;2/12/2018;10.99;0.5495;10.4405
p6153;01234567899;BRENO;19:03;2/12/2018;10.99;0.5495;10.4405
p12306;01234567890;BRENO;19:06;2/12/2018;10.99;0.5495;10.4405
p20510;12345678900;DDE;19:10;2/12/2018;10.99;0.5495;10.4405
p26663;01234567899;DEDE;19:13;2/12/2018;10.99;0.5495;10.4405
p38969;01234567899;FRFR;19:19;2/12/2018;10.99;0.5495;10.4405
p43071;01234567899;BRENO;19:21;2/12/2018;10.99;0.5495;10.4405
p55377;01234567899;DEDED;19:27;2/12/2018;10.99;0.5495;10.4405
p75887;01234567890;DEDE;19:37;2/12/2018;65.94;3.2969999999999997;62.643
p0;01234567899;BRENO;20:00;2/12/2018;10.99;0.5495;10.4405
p10260;01234567899;DEDE;20:05;2/12/2018;9.9;0.495;9.405000000000001
p30780;01234567899;DEDE;20:15;2/12/2018;21.98;1.099;20.881
p32832;01234567899;DEDE;20:16;2/12/2018;10.99;0.5495;10.4405
p34884;01234567890;BRENO;20:17;2/12/2018;21.98;1.099;20.881
p36936;01234567899;BRENO;20:18;2/12/2018;21.98;1.099;20.881
p43092;01234567890;DEEDED;20:21;2/12/2018;10.99;0.5495;10.4405
p47196;01234567899;HIGI;20:23;2/12/2018;21.98;1.099;20.881
p55404;01234567899;DEDEEEDE;20:27;2/12/2018;21.98;1.099;20.881
p69768;SEM CPF;BRENO;20:34;2/12/2018;21.98;0;21.98
p73872;SEM CPF;DE;20:36;2/12/2018;21.98;0;21.98
p92340;SEM CPF;1;20:45;2/12/2018;9.9;0;9.9
p98496;SEM CPF;DEDE;20:48;2/12/2018;21.98;0;21.98
p104652;SEM CPF;W;20:51;2/12/2018;21.98;0;21.98
p4106;SEM CPF;EEE;21:02;2/12/2018;9.9;0;9.9
p10265;SEM CPF;DE;21:05;2/12/2018;21.98;0;21.98
p12318;SEM CPF;DE;21:06;2/12/2018;9.9;0;9.9
p18477;SEM CPF;WWWWWWWWWWW;21:09;2/12/2018;9.9;0;9.9
p20530;SEM CPF;F;21:10;2/12/2018;9.9;0;9.9
p24636;SEM CPF;D;21:12;2/12/2018;10.99;0;10.99
p26689;SEM CPF;1;21:13;2/12/2018;19.8;0;19.8
p30795;SEM CPF;D;21:15;2/12/2018;10.99;0;10.99
p51325;SEM CPF;BRENO;21:25;2/12/2018;9.9;0;9.9
p53378;SEM CPF;BRENO;21:26;2/12/2018;21.98;0;21.98
p57484;SEM CPF;BRENO;21:28;2/12/2018;9.9;0;9.9
p61590;SEM CPF;B;21:30;2/12/2018;21.98;0;21.98
p75961;SEM CPF;F;21:37;2/12/2018;9.9;0;9.9
